"","City","Country","IOClass1","IOClass2","IODescription","IOSpecific","Source","CropsConcerned","IOLifeTime","Count","AreaOfBase","Material1","Material1Description","AmountMaterial1","UnitsMaterial1","Material2","Material2Description","AmountMaterial2","UnitsMaterial2","Material3","Material3Description","AmountMaterial3","UnitsMaterial3","Material4","Material4Description","AmountMaterial4","UnitsMaterial4","Material5","Material5Description","AmountMaterial5","UnitsMaterial5","Material6","Material6Description","AmountMaterial6","UnitsMaterial6","UnknownMaterial","UsedInLCA","MeasurementMethod","RaisedBedMaterialBased","SoilOM","SoilpH","SoilN","SoilP","SoilK","SoilMg","SoilTexture","SoilPAH","SoilPb","FoodProductionArea","AssociatedProducts","AssociatedInfra","Allocation.to.food.production...JKH.Formula","Conservative.allocation.to.food.production...JH","Material1ReclaimedOrRecycled","Material2ReclaimedOrRecycled","Material3ReclaimedOrRecycled","Material4ReclaimedOrRecycled","Material5ReclaimedOrRecycled","Material6ReclaimedOrRecycled","FarmType","Farm"
"35","London","GB","Infrastructure","Hoop Houses","","","New","",NA,1,18,"Unknown plastic","",49.36,"m2","Galvanized steel tube","",82.32,"kg","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","LDPE (low-density polyethylene)","Yes","Field Measurement","Null","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Hoop Houses","100%","100%","New","New","New","New","New","New","Urban Collective Garden","ZJ"
"36","London","GB","Infrastructure","Raised Beds","","","New","",NA,1,13.92,"Wood (new)","",0.585,"m3","Compost (made on site)","",5.7072,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Soil","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","ZJ"
"37","London","GB","Infrastructure","Raised Beds","","","New","",NA,1,6.6,"Wood (new)","",0.3,"m3","Compost (made on site)","",2.706,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Soil","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","ZJ"
"38","London","GB","Infrastructure","Raised Beds","","","New","",NA,4,5.46,"Wood (new)","",0.319,"m3","Compost (made on site)","",2.73,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Soil","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","ZJ"
"39","London","GB","Infrastructure","Raised Beds","","","Reused","",NA,2,1.34,"Wood (reclaimed)","",0.076,"m3","Compost (made on site)","",0.268,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Soil","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Raised Beds","100%","100%","Reused","New","New","New","New","New","Urban Collective Garden","ZJ"
"40","London","GB","Infrastructure","Raised Beds","","","Reused","",NA,1,2.77,"Wood (reclaimed)","",0.341,"m3","Other ","Black lining material",4.6,"m2","Compost (made on site)","1.2465",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Protective Membrane","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Raised Beds","100%","100%","Reused","New","New","New","New","New","Urban Collective Garden","ZJ"
"41","London","GB","Infrastructure","Raised Beds","","","Reused","",NA,1,2.03,"Wood (reclaimed)","",0.422,"m3","Other ","Black woven lining",3.48,"m2","Compost (made on site)","1.015",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Protective Membrane","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Raised Beds","100%","100%","Reused","New","New","New","New","New","Urban Collective Garden","ZJ"
"42","London","GB","Infrastructure","Raised Beds","","","Reused","",NA,1,1.24,"Wood (reclaimed)","",0.078,"m3","Compost (made on site)","",0.558,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Soil","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Raised Beds","100%","100%","Reused","New","New","New","New","New","Urban Collective Garden","ZJ"
"43","London","GB","Infrastructure","Root block textile","","","New","",NA,1,NA,"Unknown plastic","Textile - JH",6.7,"m2","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","Polypropylene","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Root block textile","100%","100%","New","New","New","New","New","New","Urban Collective Garden","ZJ"
"44","London","GB","Infrastructure","Storage shed or box","","","Reused","",NA,1,NA,"Wood (new)","",1.99,"m3","Glass","",10.08,"m2","Bitumen/tar membrane","",21.42,"m2","Concrete","",0.776,"m3","","",NA,"","",NA,NA,"","","Yes","Field Measurement","","",NA,NA,NA,NA,NA,"",NA,NA,144,"","Storage shed/box","5%","0%","New","New","New","New","New","New","Urban Collective Garden","ZJ"
